Year,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,City MPG,Highway MPG,Annual Fuel Cost,Annual Consumption in Barrels,Tailpipe CO2 in Grams/Mile
1984,2-Wheel Drive,Manual 4-Speed,6,4.1,,,Regular,15,20,2050,19.38882353,522.7647059
1984,2-Wheel Drive,Manual 4-Speed,8,5,,,Regular,15,17,2200,20.600625,555.4375
1984,2-Wheel Drive,Manual 4-Speed,8,6.2,,,Diesel,18,22,1950,19.10925,509
1984,2-Wheel Drive,Manual 4-Speed,8,6.2,,,Diesel,18,20,2050,20.115,535.7894737
1984,2-Wheel Drive,Manual 4-Speed,6,4.1,,,Regular,14,18,2350,21.974,592.4666667
1984,2-Wheel Drive,Manual 4-Speed,8,6.2,,,Diesel,18,22,1950,19.10925,509
1984,2-Wheel Drive,Manual 4-Speed,6,4.1,,,Regular,15,19,2050,19.38882353,522.7647059
1984,2-Wheel Drive,Manual 4-Speed,8,5,,,Regular,14,17,2350,21.974,592.4666667
1984,2-Wheel Drive,Automatic 4-Speed,6,4.1,,,Regular,13,17,2500,23.54357143,634.7857143
1984,2-Wheel Drive,Automatic 4-Speed,8,5,,,Regular,13,17,2500,23.54357143,634.7857143
1984,2-Wheel Drive,Automatic 4-Speed,8,6.2,,,Diesel,17,22,2050,20.115,535.7894737
1984,2-Wheel Drive,Automatic 4-Speed,8,5.7,,,Regular,11,15,2700,25.35461538,683.6153846
1984,2-Wheel Drive,Automatic 4-Speed,8,6.2,,,Diesel,17,22,2050,20.115,535.7894737
1984,2-Wheel Drive,Manual 4-Speed,6,4.1,,,Regular,13,15,2500,23.54357143,634.7857143
1984,2-Wheel Drive,Manual 4-Speed,8,5,,,Regular,12,15,2700,25.35461538,683.6153846
1984,2-Wheel Drive,Manual 4-Speed,8,6.2,,,Diesel,18,22,1950,19.10925,509
1984,2-Wheel Drive,Manual 4-Speed,8,6.2,,,Diesel,17,19,2150,21.2325,565.5555556
1984,2-Wheel Drive,Manual 4-Speed,8,6.2,,,Diesel,18,22,2050,20.115,535.7894737
1984,,Automatic 4-Speed,4,2.5,,,Regular,19,27,1600,14.98227273,403.9545455
1984,,Automatic 4-Speed,6,2.8,,,Regular,16,24,1850,17.34789474,467.7368421
1984,,Automatic 4-Speed,8,5,,,Regular,15,21,2050,19.38882353,522.7647059
1984,,Automatic 4-Speed,4,2.5,,,Regular,19,27,1600,14.98227273,403.9545455
1984,,Automatic 4-Speed,6,2.8,,,Regular,16,24,1850,17.34789474,467.7368421
1984,,Automatic 4-Speed,8,5,,,Regular,15,21,2050,19.38882353,522.7647059
1984,,Manual 4-Speed,4,2.5,,,Regular,19,26,1600,14.98227273,403.9545455
1984,,Manual 4-Speed,4,2.5,,,Regular,19,26,1600,14.98227273,403.9545455
1984,,Manual 5-Speed,4,2.5,,,Regular,18,29,1600,14.98227273,403.9545455
1984,,Manual 5-Speed,6,2.8,,,Regular,16,22,1950,18.31166667,493.7222222
1984,,Manual 5-Speed,8,5,,,Regular,13,20,2350,21.974,592.4666667
1984,,Manual 5-Speed,4,2.5,,,Regular,18,29,1600,14.98227273,403.9545455
1984,,Manual 5-Speed,6,2.8,,,Regular,16,22,1950,18.31166667,493.7222222
1984,,Manual 5-Speed,8,5,,,Regular,13,20,2350,21.974,592.4666667
1984,,Automatic 4-Speed,8,5,,,Regular,13,18,2350,21.974,592.4666667
1984,,Automatic 4-Speed,8,5.7,,,Diesel,18,26,1850,18.19928571,484.7619048
1984,,Automatic 4-Speed,8,5,,,Regular,14,19,2200,20.600625,555.4375
1984,,Automatic 3-Speed,4,2,,,Regular,22,29,1400,13.1844,355.48
1984,,Automatic 3-Speed,4,2,,,Regular,19,26,1600,14.98227273,403.9545455
1984,,Manual 4-Speed,4,2,,,Regular,22,29,1400,13.1844,355.48
1984,,Manual 4-Speed,4,2,,,Regular,23,33,1300,12.20777778,329.1481481
1984,,Manual 4-Speed,4,2,,,Regular,21,30,1450,13.73375,370.2916667
1984,,Manual 5-Speed,4,2,,,Regular,21,31,1400,13.1844,355.48
1984,,Manual 5-Speed,4,2,,,Regular,21,31,1400,13.1844,355.48
1984,,Automatic 3-Speed,4,2,,,Regular,18,26,1650,15.69571429,423.1904762
1984,,Automatic 3-Speed,4,2,,,Regular,18,26,1650,15.69571429,423.1904762
1984,,Manual 4-Speed,4,2,,,Regular,22,29,1400,13.1844,355.48
1984,,Manual 4-Speed,4,2,,,Regular,21,30,1450,13.73375,370.2916667
1984,,Manual 5-Speed,4,2,,,Regular,21,31,1400,13.1844,355.48
1984,,Manual 5-Speed,4,2,,,Regular,21,31,1400,13.1844,355.48
1984,,Automatic 3-Speed,4,2,,,Regular,22,29,1400,13.1844,355.48
1984,,Automatic 3-Speed,4,2,,,Regular,19,26,1600,14.98227273,403.9545455
1984,,Manual 4-Speed,4,2,,,Regular,22,29,1400,13.1844,355.48
1984,,Manual 4-Speed,4,2,,,Regular,21,30,1450,13.73375,370.2916667
1984,,Manual 5-Speed,4,2,,,Regular,21,31,1400,13.1844,355.48
1984,,Manual 5-Speed,4,2,,,Regular,21,31,1400,13.1844,355.48
1984,,Automatic 3-Speed,4,2.5,,,Regular,20,28,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,6,2.8,,,Regular,17,24,1850,17.34789474,467.7368421
1984,,Automatic 3-Speed,6,4.3,,,Diesel,21,31,1550,15.2874,407.2
1984,,Automatic 3-Speed,4,2.5,,,Regular,20,28,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,6,2.8,,,Regular,17,23,1850,17.34789474,467.7368421
1984,,Automatic 3-Speed,6,4.3,,,Diesel,21,29,1600,15.924375,424.1666667
1984,,Automatic 4-Speed,6,4.3,,,Diesel,21,31,1600,15.924375,424.1666667
1984,,Manual 4-Speed,4,2.5,,,Regular,20,27,1500,14.33086957,386.3913043
1984,,Manual 4-Speed,4,2.5,,,Regular,20,27,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,4,2.5,,,Regular,20,28,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,6,2.8,,,Regular,16,22,1950,18.31166667,493.7222222
1984,,Automatic 3-Speed,6,4.3,,,Diesel,21,31,1550,15.2874,407.2
1984,,Automatic 3-Speed,4,2.5,,,Regular,20,28,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,6,2.8,,,Regular,16,21,1950,18.31166667,493.7222222
1984,,Automatic 3-Speed,6,4.3,,,Diesel,21,29,1600,15.924375,424.1666667
1984,,Automatic 4-Speed,6,2.8,,,Regular,16,23,1850,17.34789474,467.7368421
1984,,Automatic 4-Speed,6,2.8,,,Regular,16,22,1950,18.31166667,493.7222222
1984,,Automatic 4-Speed,6,4.3,,,Diesel,21,31,1600,15.924375,424.1666667
1984,,Manual 4-Speed,4,2.5,,,Regular,20,27,1500,14.33086957,386.3913043
1984,,Manual 4-Speed,4,2.5,,,Regular,20,27,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,4,1.6,,,Regular,23,30,1350,12.67730769,341.8076923
1984,,Automatic 3-Speed,4,1.8,,,Diesel,28,33,1300,12.7395,339.3333333
1984,,Automatic 3-Speed,4,1.6,,,Regular,22,27,1450,13.73375,370.2916667
1984,,Manual 4-Speed,4,1.6,,,Regular,24,31,1300,12.20777778,329.1481481
1984,,Manual 4-Speed,4,1.6,,,Regular,23,30,1400,13.1844,355.48
1984,,Manual 5-Speed,4,1.6,,,Regular,24,33,1300,12.20777778,329.1481481
1984,,Manual 5-Speed,4,1.8,,,Diesel,33,42,1050,10.61625,282.7777778
1984,,Manual 5-Speed,4,1.8,,,Diesel,33,41,1050,10.61625,282.7777778
1984,,Automatic 3-Speed,4,2.5,,,Regular,20,28,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,6,2.8,,,Regular,17,24,1850,17.34789474,467.7368421
1984,,Automatic 3-Speed,4,2.5,,,Regular,20,28,1500,14.33086957,386.3913043
1984,,Automatic 3-Speed,6,2.8,,,Regular,17,23,1850,17.34789474,467.7368421
1984,,Manual 4-Speed,4,2.5,,,Regular,21,30,1450,13.73375,370.2916667
1984,,Manual 4-Speed,6,2.8,,,Regular,17,24,1850,17.34789474,467.7368421
1984,,Manual 4-Speed,4,2.5,,,Regular,21,30,1450,13.73375,370.2916667
1984,,Manual 4-Speed,6,2.8,,,Regular,17,24,1750,16.4805,444.35
1984,,Automatic 4-Speed,8,5.7,,,Regular,13,20,2350,21.974,592.4666667
1984,,Automatic 4-Speed,8,5.7,,,Regular,13,20,2350,21.974,592.4666667
1984,,Manual 4-Speed,8,5.7,,,Regular,13,20,2350,21.974,592.4666667
1984,,Manual 4-Speed,8,5.7,,,Regular,13,20,2350,21.974,592.4666667
1984,2-Wheel Drive,Automatic 3-Speed,6,3.8,,,Regular,15,19,2050,19.38882353,522.7647059
1984,2-Wheel Drive,Automatic 3-Speed,8,5,,,Regular,14,18,2350,21.974,592.4666667
